payment_order_id,payment_amount,payment_fee,payment_method,payment_status
70914789,30.2,0.45,ONLINE,PAID
70914805,105.4,7.38,ONLINE,PAID
70914808,70.4,1.9,ONLINE,PAID
70914813,49.8,0.75,ONLINE,PAID
70914871,98.8,2.67,ONLINE,PAID
70914879,67.8,1.83,ONLINE,PAID
70914958,2000,40,ONLINE,PAID
70915039,67.8,1.83,ONLINE,PAID
70915069,66.8,1,ONLINE,PAID
70915105,29.9,0.45,ONLINE,PAID
70915123,5,0.08,VOUCHER_STORE,PAID
70915137,111.6,3.01,ONLINE,PAID
70915164,37.9,0.57,ONLINE,PAID
70915199,13.9,0.21,ONLINE,PAID
70915205,24.7,0.37,ONLINE,PAID
70915247,64.7,0.97,ONLINE,PAID
70915275,67.8,1.83,ONLINE,PAID
70915277,86.7,1.3,ONLINE,PAID
70915278,31,0.47,ONLINE,PAID
70915318,79.79,1.2,ONLINE,PAID
70915389,180.2,4.87,ONLINE,PAID
70915394,33.9,0.51,ONLINE,PAID
70915404,29.8,0.45,ONLINE,PAID
70915529,114.89,2.3,ONLINE,PAID
70915594,27.93,0.42,ONLINE,PAID
70915599,81.85,1.23,ONLINE,PAID
70915681,107.6,1.61,ONLINE,PAID
70915707,131.3,3.55,ONLINE,PAID
70915711,162.4,4.38,ONLINE,PAID
70915792,35.8,0.54,ONLINE,PAID
70915983,113.5,3.06,ONLINE,PAID
70916013,113.5,1.7,ONLINE,PAID
70916238,356.2,9.62,ONLINE,PAID
70916404,57.8,0,MEAL_BENEFIT,PAID
70916411,63.6,0.89,DEBIT,PAID
70916451,66.9,1,ONLINE,PAID
70916496,71.7,1.94,ONLINE,PAID
70916499,69.1,0.97,ONLINE,PAID
70916574,83.5,0,MEAL_BENEFIT,PAID
70916608,58.6,0.88,ONLINE,PAID
70916635,17.8,0.27,ONLINE,PAID
70916644,255.3,6.89,ONLINE,PAID
70916668,37.9,0.57,ONLINE,PAID
70916709,46.6,0.61,ONLINE,PAID
70916782,46.2,0.65,CREDIT_STORE,PAID
